ProductId,ProductName,MainCategoryId,MainCategory,SubCategoryId,SubCategory,ImageUrl,DiscountPrice,ActualPrice,Summary,ShowCase
1,Samsung Galaxy S24,1,Teknoloji,1,Akilli Telefonlar,1.png,42500,45000,Samsung Galaxy S24 son teknoloji donanimi yuksek cozunurluklu ekrani guclu islemcisi ve ustun kamera sistemi ile kullaniciya essiz bir deneyim sunar. Modern tasarimi ve dayanikli yapisi profesyonel ve gunluk kullanimlarda beklentilerin otesinde performans saglar.,false,3
2,Huawei P60 Pro,1,Teknoloji,1,Akilli Telefonlar,2.png,39500,42000,Huawei P60 Pro yenilikci kamera teknolojisi gelismis goruntu isleme algoritmalari ve uzun pil omru ile one cikar. Estetik ve ergonomik tasarimi hem is hem eglence amacli kullanimda ustun performans sergilemesini saglar.,false,5
3,Lenovo ThinkPad X1 Carbon,1,Teknoloji,2,Dizustu Bilgisayarlar,3.png,78000,80000,Lenovo ThinkPad X1 Carbon hafifligi dayanikli yapisi ve yuksek performansli islemcisi sayesinde is dunyasinda vazgecilmezdir. Genis depolama alani uzun pil omru ve ergonomik klavye ozelligi profesyonel kullanimda maksimum verimlilik sunar.,false,1
4,Dell XPS 13,1,Teknoloji,2,Dizustu Bilgisayarlar,4.png,68000,70000,Dell XPS 13 kompakt boyutu yuksek cozunurluklu ekrani guclu donanimi ile modern is yasaminin tum gereksinimlerini karsilar. Ince tasarimi ve ustun performans ozellikleri tasinabilirlik ve verimlilik acisindan ideal secimdir.,false,4
5,Apple AirPods Pro 2,1,Teknoloji,3,Aksesuarlar,5.png,9500,10000,Apple AirPods Pro 2 ustun ses kalitesi aktif gurultu engelleme ve uzamsal ses teknolojisi ile essiz kablosuz deneyim sunar. Ergonomik tasarimi ve uzun pil omru kullaniciya kesintisiz ve yuksek kaliteli muzik dinleme imkani verir.,false,2
6,Sony WH-1000XM5,1,Teknoloji,3,Aksesuarlar,6.png,11500,12000,Sony WH-1000XM5 sektor lideri gurultu engelleme teknolojisi ustun ses performansi ve modern tasarimiyla dikkat ceker. Uzun sureli kullanimda bile konforlu olan bu kulaklik profesyonel ve gunluk muzik deneyiminde fark yaratir.,false,1
7,Erkek Slim Fit Takim Elbise,2,Giyim,1,Erkek Giyim,7.png,2500,2800,Erkek Slim Fit Takim Elbise kaliteli kumas ve modern kesimi ile resmi ve gundelik ortamlarda sikligi garantiler. Ince dikis detaylari mukemmel uyumu ve konforlu yapisi sayesinde is toplantilarindan ozel davetlere kadar genis bir kullanim alani sunar.,false,5
8,Erkek Spor Ceket,2,Giyim,1,Erkek Giyim,8.png,1500,1700,Erkek Spor Ceket dinamik tasarimi rahat kesimi ve yuksek kaliteli malzemeleri ile spor aktivitelerinden gunluk yasama kadar her ortamda stil ve konforu bir arada sunar. Fonksiyonel cepler ve modern detaylar cazibesini artirir.,false,3
9,Kadin Klasik Elbise,2,Giyim,2,Kadin Giyim,9.png,2000,2300,Kadin Klasik Elbise zarif ve sik tasarimi ile her ortamda one cikar. Ince kumasi modern kesimi ve ozenle islenmis detaylari sayesinde gunluk kullanimda ve ozel davetlerde essiz bir stil sunar.,false,2
10,Kadin Triko Kazak,2,Giyim,2,Kadin Giyim,10.png,1200,1400,Kadin Triko Kazak soguk gunlerde sicaklik saglarken modern cizgileri ve yumusak dokusuyla stilinizi tamamlar. Konforlu kesimi sik detaylari ve cesitli renk secenekleri ile gardirobunuzun vazgecilmez parcasidir.,false,4
11,Cocuk Renkli Tisort,2,Giyim,3,Cocuk Giyim,11.png,500,600,Cocuk Renkli Tisort canli renkleri ve eglenceli desenleri ile cocuklarin gardirobundan enerji ve neseyi temsil eder. Yumusak kumasi ve rahat kesimi oyun ve okul ortamlarinda ozgur hareket imkani saglar.,false,1
12,Cocuk Spor Pantolonu,2,Giyim,3,Cocuk Giyim,12.png,700,850,Cocuk Spor Pantolonu esnek yapisi ve dayanikli kumasi sayesinde aktif cocuklar icin idealdir. Rahat kesimi ve modern tasarimi gunluk aktivitelerde konforlu kullanim sunarken hareket ozgurlugunu destekler.,false,5
13,ProCook Mikrodalga Firin,3,Ev Aletleri,1,Mutfak Aletleri,13.png,1800,2000,ProCook Mikrodalga Firin modern mutfaklarin vazgecilmezi olarak hizli isitma esit pisirme ve enerji verimliligi ozellikleri ile yemek hazirlik surecini kolaylastirir. Kullanici dostu kontrol paneli pratik kullanimi destekler.,false,3
14,MixMaster 5000 Blender,3,Ev Aletleri,1,Mutfak Aletleri,14.png,1600,1800,MixMaster 5000 Blender guclu motoru ve coklu hiz secenekleri ile saglikli icecekler pureler ve soslar hazirlamak icin idealdir. Dayanikli yapisi ve kolay temizlenebilir parcalari mutfakta islevselligi artirir.,false,2
15,CleanPro Elektrikli Supurge,3,Ev Aletleri,2,Temizlik Aletleri,15.png,2200,2500,CleanPro Elektrikli Supurge yuksek emis gucu gelismis filtre sistemi ve enerji verimliligi sayesinde ev temizliginde devrim yaratir. Ergonomik tasarimi kullanim kolayligi ve dayanikli yapisi ile her eve uygundur.,false,4
16,SteamPlus Buharli Temizlik Makinesi,3,Ev Aletleri,2,Temizlik Aletleri,16.png,2100,2400,SteamPlus Buharli Temizlik Makinesi yuksek buharli basinci ve derinlemesine temizlik saglayan teknolojisi ile yuzeylerdeki kir bakteri ve alerjenleri etkili bicimde temizler. Kullanim kolayligi ve uzun omurlu performansi one cikar.,false,1
17,CoolAir 3000 Klima,3,Ev Aletleri,3,Klima ve Isitma,17.png,3500,3800,CoolAir 3000 Klima gelismis sogutma teknolojisi dusuk enerji tuketimi ve sessiz calisma ozelligi ile yaz aylarinda ferah bir ortam saglar. Modern tasarimi ve kullanici dostu arayuzu ev ve ofis kullanimlarinda idealdir.,false,5
18,HeatWave Pro Isitici,3,Ev Aletleri,3,Klima ve Isitma,18.png,3000,3300,HeatWave Pro Isitici hizli isinma verimli enerji kullanimi ve guvenlik onlemleri ile soguk kis gunlerinde konforlu sicaklik saglar. Sessiz calisma ve modern tasarim ozellikleri her eve uyum saglar.,false,3
19,Samsung Smart Fridge 500,4,Beyaz Esya,1,Buzdolaplari,19.png,8000,8500,Samsung Smart Fridge 500 genis ic hacmi akilli kontrol sistemi ve enerji verimliligi ile modern mutfaklarin en cok tercih edilen beyaz esyalarindandir. Yiyeceklerin tazeligin koruyan teknolojik ozellikleri ile dikkat ceker.,false,2
20,LG InstaView Fridge,4,Beyaz Esya,1,Buzdolaplari,20.png,9000,9500,LG InstaView Fridge dokunmatik paneli ve seffaf cam kapak tasarimi ile one cikar. Gelismis sogutma teknolojisi enerji tasarrufu ve modern gorunumu ile her mutfakta sikligi ve islevselligi garanti eder.,false,4
21,Bosch Serie 8 Camasir Makinesi,4,Beyaz Esya,2,Camasir Makineleri,21.png,7000,7500,Bosch Serie 8 Camasir Makinesi ustun yikama teknolojisi genis kapasitesi ve sessiz calisma ozelligi ile evlerin en cok tercih edilen camasir makinelerindendir. Dayanikli yapisi ve enerji verimliligi uzun omurlu kullanim saglar.,false,1
22,Siemens iQ500 Camasir Makinesi,4,Beyaz Esya,2,Camasir Makineleri,22.png,6800,7200,Siemens iQ500 Camasir Makinesi yenilikci yikama programlari hassas kumas modlari ve dusuk enerji tuketimi ile modern ailelerin ihtiyaclarini karsilar. Estetik tasarimi ve ustun performansi ile evinizde fark yaratir.,false,5
23,Arcelik Firinli Ocak Seti,4,Beyaz Esya,3,Firin & Ocak,23.png,5500,6000,Arcelik Firinli Ocak Seti cok fonksiyonlu firin sistemi ve esit isi dagilimi ozellikleri sayesinde profesyonel yemek pisirme deneyimi sunar. Kullanim kolayligi modern tasarimi ve dayanikli yapisi ile mutfaginizda one cikar.,false,3
24,Vestel Ankastre Firin,4,Beyaz Esya,3,Firin & Ocak,24.png,5300,5800,Vestel Ankastre Firin yenilikci isi kontrol teknolojisi enerji verimliligi ve sik tasarimi ile mutfaklarda estetik ve islevselligi bir arada sunar. Yemeklerin her daim mukemmel pismesini saglayan ozellikleri dikkat cekicidir.,false,2
25,Ask ve Gurur Romani,5,Kitap,1,Roman,25.png,30,35,Ask ve Gurur Romani derin duygusal temalari surukleyici anlatimi ve karakterlerin ic dunyasini ustalikla yansitan bir eserdir. Edebiyatin klasiklesmis dili ve akici anlatimi okuru duygusal bir yolculuga cikarir.,false,4
26,Kayip Zamanin Izinde,5,Kitap,1,Roman,26.png,28,33,Kayip Zamanin Izinde zamanin akisini ve insan ruhunun derinliklerini kesfeden edebiyatin en onemli klasiklerinden biri olarak surukleyici bir hikaye sunar. Her satirinda ozenle islenmis detaylar ve duygusal derinlik mevcuttur.,false,1
27,Basariya Giden Yol,5,Kitap,2,Kisisel Gelisim,27.png,25,30,Basariya Giden Yol kisisel gelisim ve motivasyon konularinda kapsamli bilgiler sunarak okuyucunun hayatinda pozitif degisiklikler yapmasini destekler. Pratik ornekler ilham verici hikayeler ve derinlemesine analizlerle dolu bir rehber niteligindedir.,false,5
28,Dusunce Gucu ve Farkindalik,5,Kitap,2,Kisisel Gelisim,28.png,22,27,Dusunce Gucu ve Farkindalik zihinsel potansiyelin ortaya cikarilmasini ve kisisel donusumu destekleyen yontemlerle kaleme alinmistir. Bilimsel temeller ve detayli orneklerle desteklenen anlatimi okuyucunun kendi ic dunyasini kesfetmesine olanak tanir.,false,3
29,Bilim Harikalari: Evrenden Izler,5,Kitap,3,Bilim & Teknoloji,29.png,20,25,Bilim Harikalari: Evrenden Izler evrenin gizemlerini modern teknolojinin yeniliklerini ve gelismeleri detayli sekilde ele alan bilgi dolu ve aydinlatici bir eserdir. Okuyucuya evrensel perspektifte dusunme imkani sunar.,false,2
30,Teknoloji ve Gelecek Vizyonu,5,Kitap,3,Bilim & Teknoloji,30.png,18,23,Teknoloji ve Gelecek Vizyonu modern dunyanin hizla degisen trendlerini bilimsel veriler isiginda gelecege dair ongoruleri ve teknolojinin insan yasamina etkilerini kapsamli bir bakis acisiyla analiz eder. Ilham verici ve dusundurucu bir perspektif sunar.,false,4
